title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes.
The answer is yes. The term ""perceived emergency"" is ambiguous, and the insurance company must interpret it in a way that is most favorable to the policyholder",,-3.892819405,-2.109121561,-1.546621561,-4.007558823,-1.640371561,-1.796621561,-7.624746323,-9.808340073
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes.
The answer is yes. The term ""perceived emergency"" is ambiguous, and the insurance company must interpret it in a way that is reasonable to Joanne. In this case, Joanne",,-3.784029484,-1.963716984,-1.307466984,-4.284029484,-1.862154484,-1.838716984,-7.823091984,-9.741060257
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes.
The answer is yes. The term ""perceived emergency"" is ambiguous, and the insurance company must interpret it in a way that is most favorable to the policyholder. In this case,",,-4.023852348,-2.109789848,-1.547289968,-4.133227348,-1.625414968,-1.766039968,-7.656664848,-9.715258598
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes.
The answer is yes. The term ""first responder"" is not commonly used in everyday conversation. In this context, it is likely that the insurance company will interpret the term to mean a police officer or other",,-3.848283768,-2.029400826,-1.505963445,-4.310650826,-1.896588445,-1.841900945,-7.466900826,-9.310650826
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes.
The answer is yes. The term ""first responder"" is commonly understood to refer to emergency responders such as police officers, firefighters, and paramedics. It is not commonly understood to refer to anyone who responds to a situation, including",,-3.7991395,-1.978827,-1.3772645,-4.3460145,-1.9866395,-1.822577,-7.5335145,-9.478826523
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes.
The answer is yes. The term ""first responder"" is not a technical term in the insurance industry, and the insurance policy does not define it. In the absence of a definition, the term",,-3.8719697,-1.996969819,-1.371969819,-4.4891572,-2.0985322,-1.911032319,-7.4266572,-9.262595177
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, No," No.
The answer is ""No"" because ""leaking"" is not a term of art in this context. The insurance policy defines ""leaking"" as ""oil leaking from a fixed oil-fired heating installation."" The term ""leaking"" is not being used in its ordinary sense, but rather in a technical sense",,-3.581650734,-2.216413021,-1.95078814,-3.466413021,-1.23985064,-1.75547564,-8.091413498,-10.6070385
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, No," No.
The answer is ""No"" because the term ""leaking"" is not used in the policy. The term ""leaking"" is not used in the policy, but the term ""leaking"" is not used in the policy. The term ""leaking"" is not used in the policy, but the",,-3.393456459,-2.034081459,-1.66689384,-3.588768959,-1.47939384,-1.84658134,-7.705956459,-10.10048771
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, No," No.
The answer is ""No"" because the term ""leaking"" is not used in the policy. The term ""leaking"" is not used in the policy, and the term ""leaking"" is not used in the policy. The term ""leaking"" is not used in the policy, and the",,-3.312754393,-1.937754393,-1.765879393,-3.515879393,-1.320566893,-1.906504393,-8.070567131,-10.73462963
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes.
The answer is yes. The term ""heating installation"" is a common noun, and the insurance policy defines ""Escape of Oil"" as damage caused by oil leaking from a fixed oil-fired heating installation. The term ""heating installation"" is not ambiguous, and Mariam's portable oil lamp is not a",,-4.001906395,-2.138640165,-1.388640165,-4.232390404,-1.607390165,-1.623015165,-7.802702904,-10.40035915
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes.
The answer is yes. The term ""heating installation"" is a common-sense term that would include a fixed oil-fired heater. The term ""fixed"" is used to distinguish it from a portable heater. The term ""heating installation"" would not include a portable heater, but it would include a fixed",,-3.679615736,-1.882740736,-1.038990736,-4.538990974,-2.093678236,-1.929615736,-7.687428474,-10.22649097
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes.
The answer is yes. The term ""heating installation"" is a common noun, and the lamp is a heating installation. The term ""oil-fired"" is an adjective modifying the noun ""heating installation."" The term ""fixed"" is an adjective modifying the noun ""heating installation."" The term ""oil",,-3.938456535,-2.080778837,-1.291716337,-4.315154076,-1.729216337,-1.682341337,-7.776091576,-10.33859158
Escape of Water I,Yes/No,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, No," No.
The key to this question is the word ""sudden"". The dictionary defines ""sudden"" as ""happening or done quickly, without warning or preparation."" The dictionary also defines ""unforeseen"" as ""not expected or anticipated."" The key to the question is the word ""sudden"". The",,-3.35358882,-2.58015132,-2.01765132,-3.25983882,-1.36921382,-1.66608882,-7.759839058,-10.13874531
